date,tempmax,tempmin,dew_point,humidity,rain,pop,pressure,clouds,solarradiation,solarenergy,uvi,tempmean,tempdiurnal
1973-02-12,28.0,20.1,13.6,54.4,0.0,0.0,992.4,40.0,219.8,18.96,9.4,24.05,7.9
1973-02-13,26.1,19.1,15.3,66.4,0.0,0.0,993.4200000000001,75.0,188.58,16.34,7.4,22.6,7.0
1973-02-14,27.0,14.1,12.8,57.5,0.0,0.0,1022.9399999999999,67.5,218.35999999999999,18.880000000000003,7.6,20.55,12.9
1973-02-15,29.0,16.1,14.1,58.6,0.0,0.0,1019.6200000000001,77.5,237.76000000000005,20.5,8.4,22.55,12.9
1973-02-16,28.0,18.1,14.9,58.1,0.0,0.0,1020.0600000000001,82.0,232.92,20.1,8.4,23.05,9.9
1973-02-17,29.0,16.1,12.3,60.5,0.0,0.0,1019.82,52.0,281.46000000000004,24.360000000000003,8.8,22.55,12.9
1973-02-18,27.0,20.1,12.1,51.0,0.0,0.0,1019.14,60.0,264.42,22.860000000000003,8.8,23.55,6.9
1973-02-19,23.0,17.1,14.1,65.7,0.0,0.0,1009.8799999999999,92.5,263.56,22.860000000000003,8.8,20.05,5.9
1973-02-20,25.0,15.1,11.1,63.6,0.0,0.0,1009.36,90.0,247.36000000000004,21.4,8.8,20.05,9.9
1973-02-21,26.1,13.1,11.1,51.3,0.0,0.0,1020.4399999999999,82.5,207.64000000000001,17.9,7.6,19.6,13.0
1973-02-22,25.1,12.1,12.8,70.8,0.0,0.0,1023.32,63.3,211.38000000000002,18.339999999999996,8.6,18.6,13.0
1973-02-23,27.0,15.1,15.0,72.8,0.0,0.0,1023.3399999999999,87.5,240.4,20.82,7.8,21.05,11.9
1973-02-24,23.0,20.1,15.6,68.8,0.0,0.0,1022.46,50.0,179.22,15.48,7.2,21.55,2.9
1973-02-25,24.0,20.0,15.0,65.1,0.0,0.0,1009.3799999999999,63.4,228.0,19.74,7.8,22.0,4.0
1973-02-26,21.0,13.1,13.1,77.8,0.0,0.0,1022.22,85.0,185.84,16.14,6.2,17.05,7.9
1973-02-27,25.1,15.1,13.3,64.6,0.0,0.0,1022.1600000000001,27.5,256.82000000000005,22.220000000000002,9.0,20.1,10.0
1973-02-28,29.0,18.1,13.6,54.8,0.0,0.0,1021.7400000000001,58.0,242.32,20.96,9.2,23.55,10.9
1973-03-01,31.0,25.0,12.6,39.3,0.0,0.0,1021.5,75.0,275.26,23.84,9.0,28.0,6.0
1973-03-02,27.1,18.1,14.7,62.7,0.0,0.0,991.9200000000001,73.3,262.38,22.68,9.0,22.6,9.0
1973-03-03,29.1,16.1,13.8,60.7,0.0,0.0,1020.5,50.0,307.71999999999997,26.580000000000002,9.8,22.6,13.0
1973-03-04,28.1,20.0,16.0,63.0,0.0,0.0,1005.86,80.0,282.32000000000005,24.400000000000002,9.2,24.05,8.1
1973-03-05,27.0,16.1,16.3,75.5,0.0,0.0,1021.26,70.0,215.8,18.639999999999997,8.0,21.55,10.9
1973-03-06,27.0,17.1,14.6,65.2,0.0,0.0,1020.5600000000001,45.0,273.64,23.6,9.2,22.05,9.9
1973-03-07,30.0,18.1,11.6,49.5,0.0,0.0,1021.28,55.0,257.56,22.3,8.4,24.05,11.9
1973-03-08,29.0,17.1,13.3,61.9,0.0,0.0,1021.6200000000001,30.0,206.21999999999997,17.8,7.4,23.05,11.9
1973-03-09,25.0,18.1,15.4,67.1,0.0,0.0,1009.8799999999999,96.7,191.7,16.560000000000002,6.8,21.55,6.9
1973-03-10,28.0,17.1,12.6,55.0,0.0,0.0,1019.9200000000001,35.0,325.7,28.060000000000002,9.8,22.55,10.9
1973-03-11,27.1,14.1,12.3,59.8,0.0,0.0,1023.8800000000001,22.0,302.88,26.119999999999997,9.6,20.6,13.0
1973-03-12,28.1,15.1,12.1,57.7,0.0,0.0,1020.9200000000001,30.0,304.34000000000003,26.26,9.0,21.6,13.0
1973-03-13,29.0,17.1,10.6,49.2,0.0,0.0,1028.2800000000002,30.0,354.36,30.6,10.0,23.05,11.9
1973-03-14,29.1,20.1,12.1,51.2,0.0,0.0,1026.34,30.0,311.8,26.919999999999998,10.0,24.6,9.0
1973-03-15,33.0,22.1,12.5,44.5,0.0,0.0,1018.5800000000002,42.0,271.04,23.34,8.6,27.55,10.9
1973-03-16,29.0,16.1,12.6,60.4,0.0,0.0,1021.32,70.0,265.96000000000004,22.96,8.4,22.55,12.9
1973-03-17,27.0,24.1,15.1,52.5,0.0,0.0,1028.38,30.0,271.06,23.360000000000003,9.0,25.55,2.9
1973-03-18,27.0,25.0,18.6,68.1,0.0,0.0,1019.28,30.0,202.39999999999998,17.419999999999998,8.6,26.0,2.0
1973-03-19,28.0,19.0,12.3,49.9,0.0,0.0,1021.1,20.0,314.64,27.28,9.6,23.5,9.0
1973-03-20,28.0,16.1,14.5,62.5,0.0,0.0,1021.28,56.0,266.93999999999994,23.1,9.0,22.05,11.9
1973-03-21,29.0,20.0,15.0,57.8,0.0,0.0,1017.14,35.0,284.94,24.640000000000004,9.6,24.5,9.0
1973-03-22,28.0,19.1,12.6,51.0,0.0,0.0,1019.46,35.0,278.32000000000005,24.02,9.2,23.55,8.9
