timestamp,value
2024-08-01,169.296742410714
2024-07-01,177.767708446429
2024-06-01,191.240942946429
2024-05-01,201.019470535714
2024-04-01,190.90005
2024-03-01,190.227211428571
2024-02-01,188.947744464286
2024-01-01,198.757928528912
2023-12-01,207.397968890977
2023-11-01,209.040296830357
2023-10-01,221.90251875
2023-09-01,223.847666428571
2023-08-01,207.675888664596
2023-07-01,235.271947278912
2023-06-01,266.93523962585
2023-05-01,268.172526360544
2023-04-01,291.179744924812
2023-03-01,284.957404968944
2023-02-01,298.245303383459
2023-01-01,302.839988392857
2022-12-01,302.235405102041
2022-11-01,320.929682857143
2022-10-01,343.553283333333
2022-09-01,312.546127891156
2022-08-01,293.930790333851
2022-07-01,312.682041964286
2022-06-01,335.717134013605
2022-05-01,344.909299603175
2022-04-01,348.507116964286
2022-03-01,335.930684161491
2022-02-01,292.671593045113
2022-01-01,276.719178214286
2021-12-01,264.573146768707
2021-11-01,248.767746071429
2021-10-01,239.60245085034
2021-09-01,235.815603571429
2021-08-01,257.020755357143
2021-07-01,278.445755612245
2021-06-01,292.523726785714
2021-05-01,304.297549659864
2021-04-01,268.622448809524
2021-03-01,245.760356832298
2021-02-01,245.554056578947
2021-01-01,231.754461466165
2020-12-01,199.184417517007
2020-11-01,190.625037593985
2020-10-01,186.7663875
2020-09-01,166.602533503401
2020-08-01,149.392999829932
2020-07-01,152.587619642857
2020-06-01,148.042380357143
2020-05-01,143.98924375
2020-04-01,147.012160204082
2020-03-01,162.179148214286
2020-02-01,168.744598496241
2020-01-01,171.814135204082
2019-12-01,167.059017321429
2019-11-01,166.361785526316
2019-10-01,167.297794099379
2019-09-01,157.374436607143
2019-08-01,163.628614285714
2019-07-01,189.486373214286
2019-06-01,195.167922321429
2019-05-01,171.180153571429
2019-04-01,161.653386564626
2019-03-01,166.321331972789
2019-02-01,169.656283458647
2019-01-01,166.846241496599
2018-12-01,167.489880555556
2018-11-01,160.878207678571
2018-10-01,160.365565062112
2018-09-01,154.945003383459
2018-08-01,162.522258540373
2018-07-01,156.55426547619
2018-06-01,165.140285544218
2018-05-01,179.179058928571
2018-04-01,175.600982482993
2018-03-01,172.076589965986
2018-02-01,163.460969736842
2018-01-01,155.916875340136
2017-12-01,149.0874275
2017-11-01,148.792165892857
2017-10-01,148.722376785714
2017-09-01,147.315857857143
2017-08-01,148.543430357143
2017-07-01,157.610645892857
2017-06-01,157.973907142857
2017-05-01,158.600219642857
2017-04-01,156.540452067669
2017-03-01,158.979119254658
2017-02-01,162.962535912698
2017-01-01,160.012106964286
2016-12-01,152.729924659864
2016-11-01,151.331415714286
2016-10-01,152.617444047619
2016-09-01,148.51190170068
2016-08-01,150.21541242236
2016-07-01,161.823044821429
2016-06-01,179.912739285714
2016-05-01,169.002119897959
2016-04-01,164.465401870748
2016-03-01,159.226532142857
2016-02-01,159.716845357143
2016-01-01,161.098876879699
2015-12-01,164.004401785714
2015-11-01,166.09242406015
2015-10-01,171.448573214286
2015-09-01,166.077623979592
2015-08-01,162.74069914966
2015-07-01,179.608530357143
2015-06-01,166.813860714286
2015-05-01,166.350389464286
2015-04-01,172.151577040816
2015-03-01,174.293821428571
2015-02-01,173.758865789474
2015-01-01,174.794871428571
2014-12-01,178.712946088435
2014-11-01,178.708535084034
2014-10-01,163.378089285714
2014-09-01,163.134381292517
2014-08-01,176.482080612245
2014-07-01,182.29451625
2014-06-01,202.633822959184
2014-05-01,216.975101020408
2014-04-01,222.430410714286
2014-03-01,222.392917176871
2014-02-01,209.356019548872
2014-01-01,198.771988605442
2013-12-01,197.553448639456
2013-11-01,199.182444172932
2013-10-01,201.779992857143
2013-09-01,207.490173392857
2013-08-01,234.938766071429
2013-07-01,279.013271428571
2013-06-01,297.111913214286
2013-05-01,295.368975
2013-04-01,279.764846428571
2013-03-01,309.579205075188
2013-02-01,302.61034047619
2013-01-01,303.36021122449
2012-12-01,308.75040056391
2012-11-01,321.596870488722
2012-10-01,321.382417321428
2012-09-01,320.705905639098
2012-08-01,332.233495341615
2012-07-01,332.99885255102
2012-06-01,267.328921768707
2012-05-01,268.884903571429
2012-04-01,274.219296607143
2012-03-01,280.715051964286
2012-02-01,279.514321428571
2012-01-01,272.920145535714
2011-12-01,258.51794047619
2011-11-01,274.278348928571
2011-10-01,274.846376020408
2011-09-01,296.299496428571
2011-08-01,310.307111645963
2011-07-01,300.832209464286
2011-06-01,310.536474285714
2011-05-01,308.575221428571
2011-04-01,318.938776020408
2011-03-01,290.43472173913
2011-02-01,293.396796992481
2011-01-01,265.285523979592
2010-12-01,250.62555085034
2010-11-01,238.23674875
2010-10-01,235.703122959184
2010-09-01,205.839520408163
2010-08-01,175.600130357143
2010-07-01,163.921745578231
2010-06-01,152.873933928571
2010-05-01,163.240300535714
2010-04-01,157.266642687075
2010-03-01,158.927769409938
2010-02-01,161.906961278195
2010-01-01,167.335630827068
2009-12-01,164.612819642857
2009-11-01,171.686854511278
2009-10-01,167.279121428571
2009-09-01,150.592793027211
2009-08-01,152.036294217687
2009-07-01,151.800255357143
2009-06-01,179.393794642857
2009-05-01,180.070212142857
2009-04-01,168.795905442177
2009-03-01,164.577030357143
2009-02-01,163.399960515873
2009-01-01,173.295129931973
2008-12-01,158.909796964286
2008-11-01,164.304400210084
2008-10-01,183.024702891156
2008-09-01,233.945613392857
2008-08-01,235.159466666667
2008-07-01,267.141454081633
2008-06-01,287.132070892857
2008-05-01,243.531773571429
2008-04-01,246.6418625
2008-03-01,233.925929285714
2008-02-01,220.047597744361
2008-01-01,206.558804323308
