"date","mean","stdev","var","median","iqr"
2012-01-06,85.6209432540402,40.0790187466529,1673.07643373551,76.9322941687799,45.2637535833543
2012-01-11,79.9076656218498,36.4962409234816,1439.80045047883,72.2805963331653,40.208621363486
2012-01-16,74.1943879896595,32.9134631003103,1206.52446722215,67.6288984975508,35.1534891436177
2012-01-21,68.4811103574691,29.330685277139,973.248483965474,62.9772006619362,30.0983569237494
2012-01-26,62.7678327252788,25.7479074539677,739.972500708796,58.3255028263216,25.0432247038811
2012-01-31,57.3189384333151,22.3598911705484,518.618469699949,53.8862674522189,20.2336701440865
2012-02-05,56.6289442654314,22.4775826026653,511.859579152075,53.2713563853298,19.8445134656183
2012-02-10,57.5252501389076,23.7638432732944,576.632402091191,53.9312200875119,20.9288227475923
2012-02-15,58.4215560123839,25.0501039439234,641.405225030308,54.591083789694,22.0131320295663
2012-02-20,59.3178618858601,26.3363646145525,706.178047969424,55.2509474918761,23.0974413115403
2012-02-25,60.2141677593364,27.6226252851815,770.95087090854,55.9108111940582,24.1817505935143
2012-03-01,60.1796427708713,28.3922312122298,813.785338954905,55.7169858336317,24.8866767278636
2012-03-06,54.2498556567778,25.8896904299336,717.676892680507,50.1164630766839,23.188842927256
2012-03-11,47.3892376807429,22.8704949040567,599.630091513358,43.6622512571274,21.1116259790236
2012-03-16,40.5286197047081,19.8512993781797,481.583290346208,37.208039437571,19.0344090307913
2012-03-21,33.6680017286732,16.8321038523028,363.536489179058,30.7538276180145,16.9571920825589
2012-03-26,26.8073837526384,13.8129083264259,245.489688011909,24.2996157984581,14.8799751343266
2012-03-31,20.1454535724272,10.8997958236612,131.897832901658,18.0263698041568,12.820528479853
2012-04-05,17.0599037170411,9.89617773691814,98.4950068155933,15.0105086644491,11.0809471130371
2012-04-10,15.1664806365968,9.52905778884888,91.8218570709237,13.0804424762727,9.44798750877381
2012-04-15,13.2730575561525,9.16193784077963,85.1487073262541,11.1503762880962,7.81502790451051
2012-04-20,11.3796344757081,8.79481789271038,78.4755575815845,9.22031009991973,6.1820683002472
2012-04-25,9.48621139526379,8.42769794464112,71.8024078369149,7.29024391174326,4.5491086959839
2012-04-30,7.70324445909081,8.1129304565922,66.2178210695336,5.46302906959297,3.01712130700389
2012-05-05,7.90848811980229,8.74050724890925,80.2273678933429,5.487138455914,3.30263379312332
2012-05-10,8.77646864614191,9.6821988013483,100.768292580882,6.12835591839215,4.19397957094255
2012-05-15,9.64444917248153,10.6238903537873,121.309217268422,6.76957338087029,5.08532534876178
2012-05-20,10.5124296988212,11.5655819062264,141.850141955961,7.41079084334844,5.97667112658101
2012-05-25,11.3804102251608,12.5072734586654,162.3910666435,8.05200830582659,6.86801690440025
2012-05-30,12.2483907515004,13.4489650111045,182.93199133104,8.69322576830473,7.75936268221948
2012-06-04,12.1444356918336,13.806428527832,190.620785522462,8.45684552192697,7.69595923423767
2012-06-09,11.3925235748292,13.7744066874186,189.741492716472,7.63540013631194,6.99605630238852
2012-06-14,10.6406114578248,13.7423848470052,188.862199910482,6.81395475069692,6.29615337053936
2012-06-19,9.88869934082043,13.7103630065918,187.982907104493,5.99250936508188,5.5962504386902
2012-06-24,9.13678722381603,13.6783411661784,187.103614298503,5.17106397946685,4.89634750684103
2012-06-29,8.38487510681164,13.646319325765,186.224321492514,4.34961859385182,4.19644457499187
2012-07-04,8.37138981972983,13.5859625108781,184.599472045899,4.30947488354108,4.37128942243516
2012-07-09,8.85018908592974,13.5067157130088,182.477584838868,4.79019895676653,5.1292994560734
2012-07-14,9.32898835212966,13.4274689151395,180.355697631837,5.27092302999199,5.88730948971165
2012-07-19,9.80778761832957,13.3482221172702,178.233810424805,5.75164710321744,6.6453195233499
2012-07-24,10.2865868845295,13.2689753194009,176.111923217774,6.23237117644289,7.40332955698814
2012-07-29,10.7653861507294,13.1897285215317,173.990036010743,6.71309524966834,8.16133959062638
2012-08-03,13.438332588442,14.7952419096424,258.522048950196,8.74656443442078,11.6721768994485
2012-08-08,19.4024997834238,18.9278955767232,473.034912109376,13.1091512864637,19.3122551210465
2012-08-13,25.3666669784055,23.060549243804,687.547775268555,17.4717381385066,26.9523333426445
2012-08-18,31.3308341733872,27.1932029108848,902.060638427735,21.8343249905495,34.5924115642425
2012-08-23,37.2950013683689,31.3258565779655,1116.57350158691,26.1969118425924,42.2324897858404
2012-08-28,43.2591685633507,35.4585102450463,1331.08636474609,30.5594986946353,49.8725680074384
2012-09-02,48.9190483634704,38.5480153865199,1490.20381652832,35.4938659717192,55.5676024375423
2012-09-07,53.666065979004,38.5080749511719,1483.13503417969,42.1435745239259,55.4275054931641
2012-09-12,58.3623690287273,38.2942764282227,1466.83368326823,48.8885798136394,54.9632345835368
2012-09-17,63.0586720784507,38.0804779052735,1450.53233235677,55.633585103353,54.4989636739095
2012-09-22,67.754975128174,37.8666793823242,1434.23098144531,62.3785903930665,54.0346927642823
2012-09-27,72.4512781778973,37.652880859375,1417.92963053386,69.1235956827801,53.570421854655
2012-10-02,75.5140615270473,37.0494987537015,1377.51117780788,73.8097237240372,52.7389127218596
2012-10-07,73.6762857744772,35.2773658998551,1264.74141963836,72.3192200199252,50.8056889195597
2012-10-12,71.5662567384783,33.440302448888,1147.95214449975,70.485570107737,48.8112587467317
2012-10-17,69.4562277024794,31.6032389979209,1031.16286936114,68.6519201955489,46.8168285739038
2012-10-22,67.3461986664804,29.7661755469537,914.373594222531,66.8182702833607,44.8223984010758
2012-10-27,65.2361696304815,27.9291120959866,797.584319083922,64.9846203711726,42.8279682282479
