Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1976","1976","t","371019","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1977","1977","ha","19000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1977","1977","100 g/ha","148091","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1977","1977","t","281373","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1978","1978","ha","20000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1978","1978","100 g/ha","190715","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1978","1978","t","381429","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1979","1979","ha","20000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1979","1979","100 g/ha","181732","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1979","1979","t","363464","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1980","1980","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1980","1980","100 g/ha","203062","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1980","1980","t","426430","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1981","1981","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1981","1981","100 g/ha","187697","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1981","1981","t","394164","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1982","1982","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1982","1982","100 g/ha","219518","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1982","1982","t","460987","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1983","1983","ha","20000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1983","1983","100 g/ha","179774","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1983","1983","t","359547","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1984","1984","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1984","1984","100 g/ha","230331","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1984","1984","t","483696","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1985","1985","ha","20000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1985","1985","100 g/ha","201116","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1985","1985","t","402231","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1986","1986","ha","20900","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1986","1986","100 g/ha","210448","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1986","1986","t","439836","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1987","1987","ha","20000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1987","1987","100 g/ha","195778","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1987","1987","t","391556","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1988","1988","ha","21100","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1988","1988","100 g/ha","262911","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1988","1988","t","554742","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1989","1989","ha","21300","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1989","1989","100 g/ha","238592","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1989","1989","t","508202","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1990","1990","ha","20500","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1990","1990","100 g/ha","209924","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1990","1990","t","430344","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1991","1991","ha","21200","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1991","1991","100 g/ha","242959","E","Estimated value",""
