date,file_path,mean,median,stdev,var,iqr,valid_pixels
2012-02-05T00:00:00,temp_folder/sa1207.tif,0.5569859301472819,0.6122448979591837,0.296303947605321,0.08779602936649683,0.3877551020408163,17770827
2012-02-10T00:00:00,temp_folder/sa1208.tif,0.5608712021513562,0.6122448979591837,0.2914483234692021,0.08494212525300864,0.36734693877551017,17770827
2012-02-15T00:00:00,temp_folder/sa1209.tif,0.5633971073190168,0.6122448979591837,0.2866245836284397,0.08215365194017642,0.36734693877551017,17770827
2012-02-20T00:00:00,temp_folder/sa1210.tif,0.5645517166921409,0.6122448979591837,0.2825614887078852,0.07984099490081635,0.36734693877551017,17770827
2012-02-25T00:00:00,temp_folder/sa1211.tif,0.5588243515303294,0.6122448979591837,0.27726229273463304,0.07687437897246534,0.346938775510204,17770827
2012-03-01T00:00:00,temp_folder/sa1212.tif,0.5537136807506199,0.5918367346938775,0.27546865931185205,0.07588298226306922,0.346938775510204,17770827
2012-03-06T00:00:00,temp_folder/sa1213.tif,0.5453595141900787,0.5714285714285714,0.27505827878072736,0.07565705672581634,0.3265306122448979,17770827
2012-03-11T00:00:00,temp_folder/sa1214.tif,0.5374154228034328,0.5714285714285714,0.27781971832792285,0.07718379589180639,0.346938775510204,17770827
2012-03-17T00:00:00,temp_folder/sa1215.tif,0.5237760985930461,0.5510204081632653,0.2786054690391605,0.07762100737853062,0.346938775510204,17770827
2012-03-22T00:00:00,temp_folder/sa1216.tif,0.5060821008301912,0.5306122448979591,0.2775036077319986,0.07700825230427497,0.34693877551020424,17770827
2012-03-27T00:00:00,temp_folder/sa1217.tif,0.4847239305096463,0.48979591836734704,0.2740150055511937,0.07508422326722071,0.34693877551020424,17770827
2012-04-01T00:00:00,temp_folder/sa1218.tif,0.46351449292132374,0.4693877551020409,0.2723618497784221,0.07418097721472376,0.34693877551020424,17770827
2012-04-06T00:00:00,temp_folder/sa1219.tif,0.4428170868982633,0.44897959183673475,0.27393507749675644,0.07504042668315394,0.36734693877551017,17770827
2012-04-11T00:00:00,temp_folder/sa1220.tif,0.42087588013020855,0.40816326530612246,0.27819144813131136,0.0773904818133961,0.36734693877551017,17770827
2012-04-16T00:00:00,temp_folder/sa1221.tif,0.3922808918664847,0.36734693877551017,0.2795335485621849,0.07813900477176738,0.3877551020408163,17770827
2012-04-21T00:00:00,temp_folder/sa1222.tif,0.36044389894169326,0.3265306122448979,0.28219969991209587,0.07963667063047697,0.3877551020408163,17770827
2012-04-26T00:00:00,temp_folder/sa1223.tif,0.32621145228074955,0.2857142857142858,0.28282908156137937,0.07999228937685339,0.3877551020408163,17770827
2012-05-01T00:00:00,temp_folder/sa1224.tif,0.29200463046988057,0.24489795918367352,0.2836022989644001,0.08043026397789298,0.3877551020408163,17770827
2012-05-06T00:00:00,temp_folder/sa1225.tif,0.2570771065184683,0.20408163265306123,0.28606272846171504,0.08183188461496091,0.40816326530612246,17770827
2012-05-11T00:00:00,temp_folder/sa1226.tif,0.22270102106623843,0.16326530612244894,0.29074292523693046,0.08453144857532732,0.40816326530612246,17770827
2012-05-16T00:00:00,temp_folder/sa1227.tif,0.18950437687178093,0.12244897959183665,0.295419522507873,0.08727269427877968,0.40816326530612246,17770827
2012-05-21T00:00:00,temp_folder/sa1228.tif,0.15828392318368084,0.08163265306122458,0.2980085428143773,0.08880909159034853,0.3877551020408162,17770827
2012-05-27T00:00:00,temp_folder/sa1229.tif,0.1297410465390457,0.061224489795918435,0.29960263838283296,0.08976174092595458,0.40816326530612235,17770827
2012-06-01T00:00:00,temp_folder/sa1230.tif,0.10492475400251669,0.020408163265306145,0.3016829612726669,0.09101260912224543,0.3877551020408164,17770827
2012-06-06T00:00:00,temp_folder/sa1231.tif,0.0824404952065627,0.0,0.30489347567014335,0.09296003150622029,0.3877551020408164,17770827
2012-06-11T00:00:00,temp_folder/sa1232.tif,0.060845012744376585,-0.04081632653061229,0.3073017325565546,0.09443435483226019,0.40816326530612246,17770827
2012-06-16T00:00:00,temp_folder/sa1233.tif,0.04111206815717103,-0.061224489795918324,0.3107677587883451,0.09657659990233104,0.40816326530612246,17770827
2012-06-21T00:00:00,temp_folder/sa1234.tif,0.022695963325900684,-0.08163265306122447,0.313575514275457,0.09832960315311734,0.3877551020408163,17770827
2012-06-26T00:00:00,temp_folder/sa1235.tif,0.006229984572254301,-0.10204081632653061,0.31571735933074246,0.09967745098277714,0.36734693877551017,17770827
2012-07-01T00:00:00,temp_folder/sa1236.tif,-0.008744408979640522,-0.12244897959183676,0.31693214217728355,0.10044598274508186,0.36734693877551017,17770827
2012-07-06T00:00:00,temp_folder/sa1237.tif,-0.02146044562191752,-0.1428571428571429,0.31795682785278095,0.10109654437820297,0.346938775510204,17770827
2012-07-11T00:00:00,temp_folder/sa1238.tif,-0.032170805510913135,-0.1428571428571429,0.32125296325012087,0.1032034663969835,0.34693877551020413,17770827
2012-07-16T00:00:00,temp_folder/sa1239.tif,-0.04174978474220921,-0.16326530612244894,0.32508411602207216,0.10567968248985207,0.34693877551020413,17770827
2012-07-21T00:00:00,temp_folder/sa1240.tif,-0.05095490663344965,-0.16326530612244894,0.32797442785466197,0.10756722532659288,0.34693877551020413,17770827
2012-07-26T00:00:00,temp_folder/sa1241.tif,-0.059946970782008016,-0.18367346938775508,0.32897849612207636,0.10822685091074302,0.326530612244898,17770827
2012-07-31T00:00:00,temp_folder/sa1242.tif,-0.06773556337275793,-0.18367346938775508,0.3288706142456954,0.10815588091434102,0.326530612244898,17770827
