Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1967","1967","t","64466.1","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1967","1967","kg/ha","5.1788","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1968","1968","t","129510","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1968","1968","kg/ha","10.3882","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1968","1968","t","104692.32","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1968","1968","kg/ha","8.3976","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1968","1968","t","71786.7","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1968","1968","kg/ha","5.7581","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1969","1969","t","135000","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1969","1969","kg/ha","10.8121","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1969","1969","t","105830.28","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1969","1969","kg/ha","8.4759","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1969","1969","t","66632.4","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1969","1969","kg/ha","5.3366","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1970","1970","t","162495","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1970","1970","kg/ha","13.0048","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1970","1970","t","110166.3","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1970","1970","kg/ha","8.8168","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1970","1970","t","71898.75","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1970","1970","kg/ha","5.7542","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1971","1971","t","187560","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1971","1971","kg/ha","14.988","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1971","1971","t","119995.92","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1971","1971","kg/ha","9.5889","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1971","1971","t","76941","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1971","1971","kg/ha","6.1484","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1972","1972","t","217575","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1972","1972","kg/ha","17.3671","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1972","1972","t","128275.56","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1972","1972","kg/ha","10.2391","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1972","1972","t","87137.55","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1972","1972","kg/ha","6.9554","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1973","1973","t","207945","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1973","1973","kg/ha","16.5799","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1973","1973","t","132533.1","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1973","1973","kg/ha","10.5671","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1973","1973","t","94719.6","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1973","1973","kg/ha","7.5522","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1974","1974","t","217463.85","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1974","1974","kg/ha","17.3195","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1974","1974","t","141303.24","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1974","1974","kg/ha","11.2538","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1974","1974","t","98401.9365","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1974","1974","kg/ha","7.837","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1975","1975","t","259117.2","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1975","1975","kg/ha","20.6221","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1975","1975","t","141819.6384","E","Estimated value",""
