"date","potential_evapotranspiration","cloud_cover","precipitation","maximum_temperature","rain_days","minimum_temperature","vapour_pressure","ground_frost_frequency","diurnal_temperature_range","mean_temperature","wheat_ton_per_hectare","gdd"
1950,-0.243754285916244,0.395698940009219,0.789167315631847,-0.554632097295918,1.02703306456009,-0.508138367275962,-0.506143511285337,-0.296279059684371,-0.393016976244856,-0.55488098522835,-0.92474718992792,-0.674794808006143
1951,0.273085714511997,-1.3444229046096,-1.07627656452595,-0.65444878291096,-0.990108780572319,-2.09762151115164,-1.85018554640063,2.45232646692917,1.24464841537655,-1.25568222954793,-0.988082642823399,-0.19110467947667
1952,0.199251428736535,-0.749544041449215,-0.44560550759104,-0.167842440537628,0.205895676276099,-0.637514902242588,-0.5822213623296,0.312018884730101,0.477640573731081,-0.352427292424924,-1.09665770492993,-0.140189929105156
1953,-0.465257143242631,-0.223460693076082,0.464742292995708,-0.766742554227882,0.420105429741488,-1.28439757707571,-1.16548488700227,2.02426495048936,0.166691448739676,-1.03765517575961,-1.01522640835003,1.01175629805058
1954,-0.317588571691706,-0.437940827412818,0.0899754565022388,-1.00380718256361,-0.204673017865895,-1.78342135480412,-1.82482626271921,1.86655807601153,0.291071098736235,-1.3491223954572,-1.05141809571888,0.165298573124
1955,-1.64660571565003,0.440213684871562,1.44780604693194,-2.06435946722344,1.24124281802548,-2.48575111605152,-2.50952692211757,1.7088512015337,-0.64177627623798,-2.34581749848947,-0.897603424401286,1.5018107703765
1956,-0.76059428634448,-0.102056843451513,0.896842861937806,-1.00380718256361,0.616464370418093,-1.54315064700896,-1.69802984431211,1.16814191760973,0.104501623741394,-1.31797567348744,-0.960938877296765,0.617166982671282
1957,0.0515828571856099,-0.563391472024872,0.839509129489178,-0.330044554662074,1.24124281802548,-0.711444350794945,-0.506143511285337,0.717550847673082,0.249611215404051,-0.539307624243471,-1.00617848650782,0.133476854141791
1958,0.273085714511997,-1.27967418480983,0.164089793569978,-0.0305944978169411,-0.258225456232243,-0.933232696452016,-0.658299213373863,1.0780237036224,0.975159173717328,-0.38357401439468,-1.00617848650782,-0.738438245970563
1959,0.0515828571856099,-0.526970317137504,-0.0107081712124237,-0.429861240277116,0.0630891739658402,-1.09957395569482,-1.19084417068369,0.424666652214262,0.456910632064989,-0.741761317046904,-0.960938877296765,-0.865725121899366
1960,-0.317588571691706,0.169078420710026,-0.119782101236643,-0.504723754488394,-0.276076269021025,-0.637514902242588,-0.785095631780964,0.537314419698425,-0.144257676251729,-0.554880985228356,-0.979034720981187,0.0571047285845016
1961,-0.76059428634448,1.20910473249383,0.611572583412926,-0.866559239842925,0.74142005993957,-0.064561675961817,-0.125754256064028,-1.19746119955766,-1.42951405954954,-0.601601068182992,-0.969986799138976,-0.923004216067333
1962,0.125417142961072,-0.862854301098809,-0.504337623757927,0.044268016394342,-0.775899027106931,-0.766891437209214,-0.658299213373863,0.672491740679418,0.912969348719046,-0.305707209470282,-1.0695139394033,-0.929368559863767
1963,-0.834428572119947,1.63401820617982,0.726240048310182,-0.916467582650448,1.22339200523669,-0.193938210928443,-0.886532766506646,0.357077991723766,-1.38805417621735,-0.67946787310739,-0.942843033612342,0.477151419149592
1964,-0.243754285916244,-0.433894032425333,-0.623200239809961,-0.816650897035406,-0.686644963163019,-1.33984466348998,-1.19084417068369,1.91161718300519,0.145961507073579,-1.08437525871425,-0.798076284136962,2.68557871651445
1965,-0.169920000140781,-0.267975437938425,-1.59088177284534,-0.66692586861284,-1.38282666192553,-1.11805631783291,-1.3176405890908,0.69502129417625,0.166691448739676,-0.881921565910816,-1.08760978308772,-0.22292639845888
1966,-0.539091429018093,0.0314873911355122,-1.19933433173276,-0.205273697643267,-1.4185282875031,-0.193938210928443,0.077120013387336,0.10925290325861,-0.123527734585636,-0.22784040454589,-1.09665770492993,-0.636608745227499
1967,-1.20360000099726,1.44786563675548,1.07303921043847,-1.41555101072566,0.812823311094701,-0.729926712933033,-0.683658497055282,0.807669061660411,-1.47097394288173,-1.20896214659328,-0.77998044045254,1.48908208278362
1968,-0.76059428634448,0.407839324971679,-1.07767494824421,-1.42802809642754,-1.13291528288258,-1.59859773342323,-1.49515557486074,1.34837834558439,-0.579586451239698,-1.56714944924551,-0.85236381519023,-0.165647304290913
1969,-0.391422857467168,0.500915609683846,-0.33932834500334,-0.417384154575231,-0.561689273641543,-0.064561675961817,0.356072133882963,-0.161101738703377,-0.64177627623798,-0.290133848485403,-0.888555502559075,-0.490228837909373
1970,0.051582857185606,-0.328677362750709,-1.09585393658157,-0.230227869047031,-0.740197401529366,-0.489656005137874,-0.303269241833973,0.334548438226933,0.270341157070143,-0.368000653409802,-0.879507580716864,-0.394763680962762
1971,-1.1297657152218,1.21315152748132,0.478726130178301,-1.21591763949558,0.598613557629311,-0.766891437209214,-0.835814199143808,0.19937111724594,-1.09783499289204,-1.08437525871425,-0.77998044045254,-0.865725121899366
1972,-0.317588571691706,0.48877522472139,-0.182709368558308,-0.242704954748911,-0.84730227826206,-0.563585453690231,-0.658299213373863,1.30331923859072,0.208151332071866,-0.38357401439468,-0.743788753083695,0.324407168035013
1973,-0.76059428634448,0.816565618707724,0.15849625869694,-0.592063354401557,0.152343237909753,-0.230902935204623,0.0264014460244923,0.357077991723766,-0.703966101236257,-0.445867458334201,-0.698549143872639,-0.757531277359885
1974,-2.16344571607827,2.92089901220025,2.4812116147255,-1.67756981046515,1.8303196400553,-0.526620729414051,-0.506143511285337,0.649962187182586,-2.30017160952547,-1.2712555905328,-0.752836674925906,-0.0383604283620917
