date,ndvi
2012-02-05,0.5569859301472819
2012-02-10,0.5608712021513562
2012-02-15,0.5633971073190168
2012-02-20,0.5645517166921409
2012-02-25,0.5588243515303294
2012-03-01,0.5537136807506199
2012-03-06,0.5453595141900787
2012-03-11,0.5374154228034328
2012-03-17,0.5237760985930461
2012-03-22,0.5060821008301912
2012-03-27,0.4847239305096463
2012-04-01,0.4635144929213237
2012-04-06,0.4428170868982633
2012-04-11,0.4208758801302085
2012-04-16,0.3922808918664847
2012-04-21,0.3604438989416932
2012-04-26,0.3262114522807495
2012-05-01,0.2920046304698805
2012-05-06,0.2570771065184683
2012-05-11,0.2227010210662384
2012-05-16,0.1895043768717809
2012-05-21,0.1582839231836808
2012-05-27,0.1297410465390457
2012-06-01,0.1049247540025166
2012-06-06,0.0824404952065627
2012-06-11,0.0608450127443765
2012-06-16,0.041112068157171
2012-06-21,0.0226959633259006
2012-06-26,0.0062299845722543
2012-07-01,-0.0087444089796405
2012-07-06,-0.0214604456219175
2012-07-11,-0.0321708055109131
2012-07-16,-0.0417497847422092
2012-07-21,-0.0509549066334496
2012-07-26,-0.059946970782008
2012-07-31,-0.0677355633727579
2012-08-05,-0.0740304418219755
2012-08-11,-0.0790005680993918
2012-08-16,-0.0815305070476914
2012-08-21,-0.0818191378429981
2012-08-26,-0.0785049991858747
2012-08-31,-0.0704579860586505
2012-09-05,-0.0594579438332422
2012-09-10,-0.0447495815620574
2012-09-15,-0.0268432586876191
2012-09-20,-0.0084590276187358
2012-09-25,0.0119262689371024
2012-09-30,0.036743613014738
2012-10-05,0.0656738446500231
2012-10-10,0.0980276614093836
2012-10-15,0.1334835158132086
2012-10-21,0.1682910951249857
2012-10-26,0.2003388875648376
2012-10-31,0.2277812747265692
2012-11-05,0.2507464153373098
2012-11-10,0.2693823612133165
2012-11-15,0.2876394075234709
2012-11-20,0.3063365582633803
2012-11-25,0.3248003616887693
2012-11-30,0.3440374874059625
2012-12-05,0.3654555007584845
2012-12-10,0.3892112451357716
2012-12-15,0.4134982849666228
2012-12-20,0.4378475381065358
2012-12-25,0.4620259589126163
2012-12-31,0.482468038688197
2013-01-06,0.4991843704170415
2013-01-11,0.5096976180637401
2013-01-16,0.5179055083610401
2013-01-21,0.5280115596430965
2013-01-26,0.5408069273045752
2013-01-31,0.5524842137175926
2013-02-05,0.56008730411416
2013-02-10,0.5634436595609493
2013-02-15,0.5627015214963739
2013-02-20,0.5554786924975836
2013-02-25,0.54156986347316
2013-03-02,0.5229436400427917
2013-03-07,0.504397687123269
2013-03-12,0.4874942586502034
2013-03-18,0.4682287413231382
2013-03-23,0.4505958018979646
2013-03-28,0.4352985076537246
2013-04-02,0.4210411961828267
2013-04-07,0.4059899022231399
2013-04-12,0.3903550201878223
2013-04-17,0.3750056660396304
2013-04-22,0.3611528358887111
2013-04-27,0.3449627918643921
2013-05-02,0.3256038597626516
2013-05-07,0.3028763329651811
2013-05-12,0.2787834662330447
2013-05-17,0.2535530819803596
2013-05-22,0.2264961363492327
2013-05-28,0.1958403343776603
2013-06-02,0.1633534718107817
2013-06-07,0.1312425782853607
2013-06-12,0.1014904552260219
2013-06-17,0.0748559791631441
2013-06-22,0.0526243057124427
2013-06-27,0.0344703362882759
2013-07-02,0.0204428813601936
2013-07-07,0.0107773827057395
2013-07-12,0.0034954433060708
2013-07-17,-0.002151651344894
2013-07-22,-0.0073146233658587
2013-07-27,-0.0118407234823461
2013-08-01,-0.0160194185510347
2013-08-06,-0.0201886238921983
2013-08-12,-0.0262779346743187
2013-08-17,-0.0347759555058824
2013-08-22,-0.0453711716437357
2013-08-27,-0.0545794050623482
2013-09-01,-0.0616340391992629
2013-09-06,-0.0668607156490545
2013-09-11,-0.0703984016023555
2013-09-16,-0.0712205171253334
2013-09-21,-0.0695079531458453
2013-09-26,-0.0650619080604686
2013-10-01,-0.0573313226143543
2013-10-06,-0.0459676023115666
2013-10-11,-0.0301884091881904
2013-10-16,-0.0084295586101905
2013-10-22,0.0184706125850111
2013-10-27,0.0470339339468937
2013-11-01,0.0745785791716202
2013-11-06,0.1006190207013192
2013-11-11,0.1277162351853049
2013-11-16,0.1575497664884897
2013-11-21,0.1897204427115623
2013-11-26,0.2223877480084486
2013-12-01,0.2553171283781114
2013-12-06,0.2902020649147184
2013-12-11,0.3268464882978865
2013-12-16,0.3644518737260147
2013-12-21,0.3998404036414659
2013-12-26,0.4311270613233166
2014-01-01,0.4597605342676956
2014-01-06,0.4831862585021947
2014-01-11,0.5000739052394759
2014-01-16,0.5118136290604793
2014-01-21,0.5224131116970838
2014-01-26,0.5320481932321607
2014-01-31,0.5431901159342168
2014-02-05,0.5550693585739727
2014-02-10,0.5664270971593213
2014-02-15,0.5754130589217876
2014-02-20,0.578749383372416
2014-02-25,0.5803744194835881
2014-03-02,0.5846845658097551
2014-03-07,0.5941834727715603
2014-03-12,0.6082422756914787
2014-03-18,0.6211243265407163
2014-03-23,0.6278418297035898
2014-03-28,0.6270201709976497
2014-04-02,0.6142567374328824
2014-04-07,0.5901965460477491
2014-04-12,0.5577915054458061
2014-04-17,0.522287538726773
2014-04-22,0.4847723100197276
2014-04-27,0.4434779977219651
2014-05-02,0.3980718925036077
2014-05-07,0.3531852141150159
2014-05-12,0.312304717719349
2014-05-17,0.2755715684005388
2014-05-22,0.2386954956831611
2014-05-28,0.2030823238344785
2014-06-02,0.1691655118892193
2014-06-07,0.1377866030232616
2014-06-12,0.109820557009771
2014-06-17,0.0858153043378457
2014-06-22,0.0637910689183402
2014-06-27,0.0433595131730131
