date,potential_evapotranspiration,cloud_cover,precipitation,maximum_temperature,rain_days,minimum_temperature,vapour_pressure,ground_frost_frequency,diurnal_temperature_range,mean_temperature
1905-06-01,1.9,24.8,18.8,17.9,2.9,2.9,7.6,11.1,15.0,10.4
1905-07-01,2.2,22.5,5.0,19.3,1.3,3.6,7.9,9.9,15.7,11.4
1905-08-01,2.9,25.7,15.5,19.5,3.2,3.8,7.4,9.5,15.7,11.6
1905-09-01,3.9,33.5,40.8,23.1,5.8,7.8,9.3,2.4,15.3,15.5
1905-10-01,4.7,41.8,33.2,25.4,5.8,11.0,11.3,0.5,14.4,18.2
1905-11-01,5.2,43.5,48.6,26.7,6.7,12.7,12.6,0.1,14.0,19.7
1905-12-01,5.6,41.8,62.6,28.8,7.9,14.9,14.5,0.0,13.9,21.8
1906-01-01,5.5,43.1,54.1,29.7,6.9,16.1,15.9,0.0,13.6,22.9
1906-02-01,4.8,44.2,63.7,28.4,7.6,15.4,15.7,0.0,13.0,21.9
1906-03-01,4.0,42.1,56.2,26.9,8.0,13.7,14.7,0.0,13.1,20.3
1906-04-01,3.0,37.8,21.6,23.4,4.4,9.9,12.0,0.8,13.5,16.7
1906-05-01,2.3,28.7,29.0,21.3,4.4,6.6,9.8,4.2,14.7,14.0
1906-06-01,2.0,24.8,13.5,19.0,2.7,4.0,8.3,8.8,15.0,11.5
1906-07-01,2.1,22.5,4.2,17.9,1.2,2.3,7.2,12.8,15.7,10.1
1906-08-01,2.8,25.7,7.9,19.2,1.8,3.5,7.3,10.1,15.7,11.3
1906-09-01,3.8,33.5,34.0,22.6,4.8,7.3,8.9,3.0,15.3,14.9
1906-10-01,4.5,41.8,69.8,24.0,8.7,9.6,10.2,0.9,14.4,16.8
1906-11-01,5.2,43.5,70.9,26.6,8.5,12.6,12.6,0.1,14.0,19.6
1906-12-01,5.5,41.8,83.9,28.0,9.8,14.0,13.6,0.0,13.9,21.0
1907-01-01,5.4,43.1,87.8,28.7,9.4,15.0,14.9,0.0,13.6,21.8
1907-02-01,4.8,44.2,93.1,28.4,9.3,15.4,15.7,0.0,13.0,21.9
1907-03-01,4.0,42.1,63.4,27.3,8.3,14.2,15.3,0.0,13.1,20.7
1907-04-01,3.0,37.8,75.7,23.5,8.4,10.0,12.0,0.7,13.5,16.7
1907-05-01,2.3,28.7,35.1,20.2,4.8,5.4,9.0,6.2,14.7,12.8
1907-06-01,1.9,24.8,7.1,18.1,2.0,3.1,7.7,10.5,15.0,10.6
1907-07-01,2.2,22.5,4.9,18.4,1.5,2.8,7.4,11.6,15.7,10.6
1907-08-01,2.9,25.7,3.8,20.4,1.3,4.7,8.0,7.4,15.7,12.5
1907-09-01,3.9,33.5,26.7,23.0,4.6,7.7,9.2,2.4,15.3,15.3
1907-10-01,4.5,41.8,41.8,24.1,6.7,9.7,10.3,0.9,14.4,16.9
1907-11-01,5.1,43.5,56.1,25.8,7.4,11.8,11.9,0.2,14.0,18.8
1907-12-01,5.5,41.8,70.4,27.7,8.9,13.7,13.3,0.0,13.9,20.7
1908-01-01,5.4,43.1,46.5,28.5,7.2,14.8,14.7,0.0,13.6,21.6
1908-02-01,4.8,44.2,41.3,28.6,6.1,15.6,16.0,0.0,13.0,22.1
1908-03-01,4.0,42.1,48.9,26.8,7.2,13.7,14.7,0.0,13.1,20.2
1908-04-01,2.9,37.8,35.6,22.4,5.5,8.9,11.2,1.4,13.5,15.7
1908-05-01,2.3,28.7,7.7,21.4,2.2,6.6,9.8,4.2,14.7,14.0
1908-06-01,1.9,24.8,17.0,18.3,3.0,3.3,7.8,10.3,15.0,10.7
1908-07-01,2.2,22.5,18.1,18.7,3.8,3.1,7.6,11.0,15.7,10.9
1908-08-01,2.9,25.7,21.4,20.3,3.7,4.6,7.9,7.8,15.7,12.4
1908-09-01,3.9,33.5,26.4,23.3,4.5,7.9,9.4,2.3,15.3,15.6
1908-10-01,4.6,41.8,49.7,24.7,6.9,10.3,10.7,0.7,14.4,17.5
1908-11-01,5.1,43.5,46.8,26.4,7.0,12.4,12.4,0.1,14.0,19.4
1908-12-01,5.6,41.8,49.3,28.9,7.1,15.0,14.5,0.0,13.9,21.9
1909-01-01,5.5,43.1,110.9,29.2,10.3,15.6,15.3,0.0,13.6,22.4
1909-02-01,4.8,44.2,113.3,28.1,10.6,15.0,15.2,0.0,13.0,21.5
1909-03-01,3.9,42.1,83.9,26.2,9.8,13.1,14.1,0.0,13.1,19.6
1909-04-01,3.0,37.8,39.2,24.3,6.0,10.8,12.8,0.4,13.5,17.5
1909-05-01,2.3,28.7,44.9,21.1,5.6,6.4,9.6,4.5,14.7,13.7
1909-06-01,2.0,22.7,5.6,19.4,1.5,3.8,8.3,9.0,15.5,11.6
1909-07-01,2.2,22.5,9.1,18.9,2.0,3.2,7.7,10.7,15.7,11.0
1909-08-01,3.0,25.7,20.7,20.7,3.6,5.0,8.1,7.0,15.7,12.8
1909-09-01,3.9,33.5,31.7,23.2,4.9,7.9,9.3,2.2,15.3,15.5
1909-10-01,4.6,41.8,28.6,24.5,5.6,10.0,10.6,0.8,14.4,17.2
1909-11-01,5.2,43.5,45.7,27.0,7.0,13.0,12.8,0.1,14.0,19.9
1909-12-01,5.5,41.8,93.7,27.8,10.0,13.9,13.5,0.0,13.9,20.8
1910-01-01,5.4,43.4,75.4,29.0,8.8,15.5,15.2,0.0,13.6,22.2
1910-02-01,4.9,43.4,92.5,28.4,9.8,15.1,15.5,0.0,13.3,21.7
1910-03-01,4.0,41.5,66.7,27.1,8.2,13.8,14.7,0.0,13.3,20.4
1910-04-01,3.1,36.2,13.9,24.2,3.4,10.3,12.2,0.6,13.9,17.2
1910-05-01,2.4,26.7,25.9,21.5,3.8,6.2,9.6,4.7,15.2,13.8
1910-06-01,2.0,23.6,19.5,18.2,3.8,2.8,7.5,11.1,15.3,10.5
1910-07-01,2.2,21.1,15.1,18.7,2.9,2.8,7.3,11.5,15.9,10.7
1910-08-01,2.9,24.8,10.0,20.0,2.2,4.0,7.4,8.8,16.0,12.0
1910-09-01,3.8,32.4,25.3,22.9,3.9,7.3,9.3,2.8,15.5,15.1
1910-10-01,4.6,41.2,66.4,24.4,8.1,9.9,10.4,0.7,14.5,17.1
