YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1963,22.5,22.6,20.4,16.9,13.7,11.4,10.4,12.9,18.0,19.4,21.0,22.6
1964,23.2,23.0,22.5,17.6,14.8,10.1,10.3,12.4,15.7,18.0,19.9,21.7
1965,23.0,23.1,21.3,17.5,14.2,9.7,11.5,14.2,16.8,17.2,20.0,22.0
1966,24.1,21.3,21.4,17.6,14.3,12.5,11.2,13.5,15.6,19.1,21.1,23.0
1967,22.6,22.1,20.5,16.8,14.3,11.0,9.9,12.9,16.3,18.4,20.9,22.7
1968,23.4,22.0,20.4,16.4,13.9,9.3,11.3,12.7,15.9,18.2,20.1,22.5
1969,24.1,23.9,21.2,17.3,14.0,11.6,12.0,13.7,15.4,18.0,20.6,22.5
1970,23.9,22.9,21.8,18.6,14.8,11.4,10.9,12.8,16.1,18.6,20.5,21.5
1971,22.6,22.1,21.7,18.1,14.0,11.8,11.4,12.2,15.9,17.9,19.7,21.8
1972,22.8,21.9,20.7,18.2,13.9,11.3,11.6,12.7,16.4,19.6,21.4,23.2
1973,23.9,22.6,22.3,18.0,14.0,12.6,11.8,12.6,15.2,18.8,20.2,21.3
1974,22.7,22.4,20.6,17.6,14.0,11.7,11.3,12.1,15.2,18.3,20.3,21.8
1975,22.6,22.1,19.8,17.4,14.2,12.1,11.1,12.7,17.2,17.7,20.1,20.8
1976,22.0,21.7,20.4,17.6,14.2,11.2,11.0,12.3,16.5,17.7,19.0,21.9
1977,23.2,23.1,20.1,18.8,13.4,11.8,11.2,13.0,16.2,19.0,21.2,22.9
1978,22.6,22.5,21.8,17.0,14.2,10.9,12.3,13.9,15.3,17.2,21.2,22.2
1979,22.6,23.5,21.1,19.5,15.1,11.9,10.9,13.7,15.6,18.5,20.8,22.7
1980,22.8,22.8,21.7,18.0,14.6,11.5,11.7,14.0,15.4,19.0,19.8,22.3
1981,22.9,22.4,20.1,18.4,14.9,10.9,11.5,11.8,14.6,17.0,21.2,22.0
1982,23.0,23.2,21.1,16.7,14.8,11.7,11.7,13.5,17.6,18.8,20.2,22.6
1983,24.7,23.1,21.9,20.0,14.8,12.3,11.9,12.8,16.9,18.9,20.8,22.7
1984,23.7,24.0,22.2,18.2,14.6,12.0,11.8,13.8,16.9,18.9,20.7,22.1
1985,24.0,23.1,20.8,18.3,14.8,12.4,11.5,14.8,16.7,20.0,22.0,21.8
1986,23.6,22.6,21.3,19.0,15.9,12.3,11.8,14.3,16.6,18.7,20.1,23.1
1987,23.5,24.1,22.0,19.4,16.7,11.6,11.4,13.3,15.6,18.6,21.2,22.9
1988,24.1,23.4,21.8,17.4,15.2,11.2,11.6,14.5,15.9,17.6,20.3,21.4
1989,23.0,21.7,21.2,17.8,15.1,11.5,11.2,14.5,15.8,17.8,20.2,22.5
1990,23.5,22.2,21.3,18.3,14.5,11.3,11.6,13.4,16.5,18.8,21.1,22.5
1991,23.3,22.7,21.0,18.7,15.5,11.6,11.6,12.9,16.4,18.9,20.9,22.2
1992,24.3,24.2,22.3,19.5,14.9,11.9,12.1,12.9,17.6,19.0,20.4,22.9
1993,24.2,22.5,21.8,18.0,15.3,11.9,13.2,13.8,17.8,19.5,20.7,22.7
1994,22.7,22.4,21.4,18.7,14.8,10.9,10.5,13.1,17.0,18.2,21.0,22.9
1995,24.2,24.4,21.6,17.7,14.9,11.5,11.0,14.1,17.4,18.4,20.8,21.1
1996,23.5,22.6,20.7,17.9,15.2,12.2,10.0,12.1,16.0,19.0,19.3,22.0
1997,23.0,23.0,20.4,16.4,13.7,11.4,11.7,14.4,17.5,19.5,20.4,23.1
1998,23.0,23.9,22.0,19.7,14.9,12.5,12.3,13.8,16.6,18.9,20.6,22.3
1999,24.0,24.0,22.9,19.5,15.1,12.8,12.9,13.8,15.6,19.2,22.1,22.5
2000,21.9,23.0,21.5,17.5,13.6,12.5,11.4,14.4,15.5,19.3,20.2,22.3
2001,23.2,22.9,22.1,18.0,15.0,12.6,11.2,13.5,15.5,19.8,20.5,21.9
