YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1963,104.8,34.0,80.6,53.6,19.0,27.5,33.1,14.6,6.4,47.3,71.4,51.6
1964,64.3,43.1,45.3,27.7,7.3,34.4,5.8,15.0,27.6,71.0,40.9,65.0
1965,51.3,29.3,34.6,46.1,16.6,19.1,19.8,15.1,17.8,37.8,58.1,32.6
1966,89.3,66.6,17.2,19.1,18.1,14.0,7.7,15.8,22.8,31.9,39.7,64.0
1967,97.6,85.8,71.2,92.6,42.5,19.2,14.1,12.2,10.0,35.3,53.8,34.4
1968,32.4,28.3,80.8,43.3,34.3,18.1,9.6,18.0,20.9,31.4,45.3,52.5
1969,35.2,62.8,86.1,47.1,32.0,9.1,8.0,8.8,21.4,66.8,37.6,52.8
1970,36.9,49.5,18.9,17.2,23.2,24.6,15.2,39.3,23.2,45.7,41.0,78.9
1971,82.5,56.0,51.6,52.6,37.7,10.1,32.6,29.3,13.0,49.2,53.7,57.9
1972,115.6,78.5,87.4,27.8,23.7,12.2,7.1,9.6,11.4,29.3,47.2,29.1
1973,38.1,75.4,57.6,49.9,10.7,3.8,17.7,25.0,45.0,35.5,56.3,88.3
1974,136.8,105.3,92.6,45.7,35.3,18.7,10.9,44.3,16.0,23.5,80.6,59.7
1975,87.8,85.6,71.6,42.1,24.9,16.6,16.0,13.5,38.1,19.5,61.5,119.4
1976,124.6,112.2,121.9,46.8,37.3,18.9,15.9,7.6,25.9,74.4,54.0,54.9
1977,72.7,96.5,77.3,40.9,36.2,13.7,10.1,17.9,49.1,36.3,55.1,75.3
1978,100.9,64.6,73.8,53.6,8.7,8.1,6.8,19.7,28.2,47.3,44.6,62.3
1979,54.9,53.9,33.7,24.3,28.1,11.1,33.6,42.0,19.7,47.6,49.5,42.4
1980,62.9,76.1,43.1,17.7,10.8,11.0,4.6,20.8,47.8,19.4,89.9,54.4
1981,106.0,82.3,67.6,21.9,33.1,15.0,11.8,53.3,22.8,40.6,52.7,58.5
1982,51.8,35.8,47.7,63.0,7.3,17.7,23.3,7.3,17.6,61.4,35.7,38.0
1983,40.0,26.8,39.1,21.8,31.9,23.9,35.1,11.8,21.5,41.7,83.3,68.4
1984,66.1,28.9,65.5,27.9,24.1,16.1,21.5,18.2,17.4,58.8,49.0,34.2
1985,73.6,98.8,43.0,16.0,14.1,14.2,12.0,6.2,20.1,77.0,57.7,93.3
1986,64.5,41.2,46.4,37.4,3.8,24.3,9.1,28.6,20.1,64.2,58.3,50.2
1987,42.1,52.8,53.7,29.6,11.8,15.7,14.7,27.5,90.6,30.6,61.5,63.0
1988,40.7,122.5,87.3,55.3,17.6,19.6,12.5,14.9,39.8,59.2,43.2,92.8
1989,59.9,110.2,41.1,57.8,16.9,20.9,13.5,10.4,15.5,44.3,93.8,51.4
1990,51.4,58.8,64.8,58.8,12.2,19.4,10.1,14.0,8.7,27.3,23.4,58.9
1991,116.8,63.1,79.4,6.2,12.5,25.2,14.3,6.5,29.2,73.1,38.3,57.8
1992,30.6,39.4,37.6,16.7,6.4,14.4,12.0,24.2,9.5,39.8,53.7,48.9
1993,44.8,63.1,43.1,39.6,17.2,14.2,13.0,15.1,25.6,63.3,54.6,80.8
1994,77.5,72.9,58.8,20.1,5.7,18.3,16.6,13.1,8.4,31.6,29.0,55.9
1995,64.8,36.3,80.6,31.5,28.9,12.1,9.5,15.3,15.8,45.8,74.1,109.1
1996,96.5,100.9,43.2,32.3,23.0,7.9,31.3,19.1,17.1,53.4,95.2,73.1
1997,74.2,40.5,101.2,41.1,41.5,30.5,15.2,14.6,21.0,36.5,58.1,38.1
1998,82.6,69.0,65.1,18.5,19.1,3.9,11.0,15.1,23.8,42.1,82.7,81.9
1999,60.2,46.5,39.7,27.5,29.7,7.3,13.9,14.0,21.1,45.6,43.0,111.6
2000,107.8,116.6,109.7,42.2,22.1,10.4,12.0,6.4,38.3,42.8,75.4,65.0
2001,40.4,58.1,55.0,52.6,22.9,9.0,23.1,23.9,44.3,47.3,99.3,82.2
2002,66.7,50.9,32.0,32.6,33.2,16.4,20.9,34.2,26.4,23.5,30.9,67.0
2003,51.5,47.7,69.5,24.0,19.8,13.6,4.9,18.9,24.6,39.3,37.6,40.0
2004,95.5,75.9,59.7,37.5,8.6,10.9,15.0,13.2,29.8,32.4,30.0,79.4
2005,76.7,60.7,50.2,48.7,19.6,11.8,3.7,10.1,8.2,22.2,56.9,44.0
2006,88.7,108.5,56.6,45.7,37.0,8.9,10.2,41.5,14.5,40.8,58.2,76.5
2007,37.0,29.5,58.0,41.8,16.4,23.1,13.1,9.9,28.1,58.1,67.0,64.8
2008,81.6,47.8,54.0,24.7,26.4,22.0,15.1,12.3,15.9,26.3,72.2,60.1
2009,76.4,90.6,33.0,20.0,17.6,27.8,13.6,14.4,20.7,48.3,70.3,52.8
2010,95.4,65.6,46.4,35.3,22.4,13.6,10.9,8.5,10.5,35.0,56.5,87.3
2011,95.6,68.6,67.9,56.1,44.6,36.4,21.1,19.6,9.6,31.0,52.8,59.5
