YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1963,16.6,15.8,13.8,10.4,6.5,4.3,3.5,4.7,9.9,12.4,14.7,15.5
1964,16.1,15.8,15.6,10.4,7.0,2.8,2.2,4.7,8.2,11.4,12.8,14.9
1965,16.2,15.7,14.2,11.3,6.4,2.0,4.0,6.3,9.2,10.1,13.2,14.5
1966,17.5,15.2,14.1,10.8,6.6,5.1,3.2,5.5,8.1,11.9,13.9,16.2
1967,16.1,16.1,14.3,11.2,7.5,4.2,2.2,5.0,8.3,10.9,14.0,15.4
1968,15.9,14.5,14.4,10.1,7.6,2.2,3.6,5.1,7.9,10.8,12.9,15.5
1969,16.6,17.2,15.3,10.8,7.0,4.4,4.0,5.7,7.7,11.4,13.3,15.4
1970,16.7,16.1,14.2,11.3,7.9,4.5,3.2,4.8,8.3,11.6,13.2,14.7
1971,16.2,15.9,14.8,11.3,7.1,4.6,4.1,4.3,8.2,10.8,12.8,14.9
1972,16.7,15.5,14.8,11.4,6.5,3.6,3.3,4.3,8.1,12.1,14.2,15.6
1973,16.4,16.2,15.8,11.7,6.7,4.6,4.0,5.0,7.4,11.6,13.4,15.1
1974,16.9,17.0,14.7,11.5,7.1,4.3,3.4,4.8,7.4,10.6,13.8,14.8
1975,15.7,16.1,13.9,10.5,6.7,4.2,3.3,4.5,9.9,10.1,13.1,14.5
1976,16.3,15.9,14.8,11.1,7.6,4.1,3.0,3.9,8.8,11.3,11.7,14.7
1977,16.2,17.4,13.9,12.1,6.0,3.7,2.6,5.0,9.0,11.7,13.8,16.1
1978,16.4,16.2,15.4,10.5,6.2,2.3,4.2,5.9,7.9,9.7,13.9,15.3
1979,15.6,16.9,13.8,12.0,7.8,4.5,3.8,6.8,8.3,11.3,13.7,15.5
1980,15.8,16.2,15.2,10.2,6.4,3.6,3.1,6.6,8.5,11.1,13.1,15.3
1981,16.3,16.5,13.6,11.0,8.0,3.1,3.5,5.0,7.2,9.8,13.8,15.0
1982,15.9,16.2,14.3,10.7,6.9,3.9,4.4,5.2,10.1,12.0,13.0,15.1
1983,17.3,15.6,14.7,12.7,7.8,5.1,4.6,4.8,9.2,12.1,14.2,16.2
