YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1963,0.0,0.0,0.0,0.5,4.3,8.3,10.1,7.6,0.6,0.1,0.0,0.0
1964,0.0,0.0,0.0,0.6,3.8,11.2,12.9,7.4,2.1,0.3,0.1,0.0
1965,0.0,0.0,0.0,0.2,4.5,13.0,9.1,4.6,1.0,0.6,0.0,0.0
1966,0.0,0.0,0.0,0.5,4.2,6.7,10.8,5.9,2.1,0.2,0.0,0.0
1967,0.0,0.0,0.0,0.2,2.9,8.3,13.0,6.8,1.9,0.4,0.0,0.0
1968,0.0,0.0,0.0,0.7,2.9,12.3,10.1,7.0,2.3,0.5,0.1,0.0
1969,0.0,0.0,0.0,0.4,3.4,7.9,9.0,5.7,2.6,0.2,0.0,0.0
1970,0.0,0.0,0.0,0.3,2.4,7.8,10.9,7.6,2.1,0.2,0.1,0.0
1971,0.0,0.0,0.0,0.3,3.3,7.4,8.5,8.4,2.4,0.4,0.1,0.0
1972,0.0,0.0,0.0,0.3,4.5,9.6,10.6,8.5,2.0,0.2,0.0,0.0
1973,0.0,0.0,0.0,0.2,4.2,7.8,8.9,6.9,3.2,0.3,0.0,0.0
1974,0.0,0.0,0.0,0.2,3.4,8.2,10.3,7.5,2.6,0.6,0.0,0.0
1975,0.0,0.0,0.0,0.5,4.4,8.3,10.3,8.0,0.7,0.8,0.1,0.0
1976,0.0,0.0,0.0,0.3,2.8,8.6,11.1,9.2,1.3,0.2,0.2,0.0
1977,0.0,0.0,0.0,0.1,5.3,9.6,12.1,6.9,1.3,0.3,0.0,0.0
1978,0.0,0.0,0.0,0.5,4.8,12.3,8.5,6.2,2.4,1.1,0.0,0.0
1979,0.0,0.0,0.0,0.1,2.6,7.7,9.3,3.8,2.0,0.4,0.0,0.0
1980,0.0,0.0,0.0,0.6,4.5,9.5,10.9,4.0,1.7,0.4,0.1,0.0
1981,0.0,0.0,0.0,0.4,2.3,10.4,10.1,6.7,3.2,0.8,0.0,0.0
1982,0.0,0.0,0.0,0.4,3.9,8.8,8.3,6.6,0.5,0.1,0.1,0.0
1983,0.0,0.0,0.0,0.1,2.7,6.6,7.7,7.3,1.1,0.1,0.0,0.0
1984,0.0,0.0,0.0,0.4,3.1,7.8,8.6,5.4,1.3,0.2,0.0,0.0
1985,0.0,0.0,0.0,0.4,3.7,8.5,10.2,4.3,1.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.1,2.6,6.6,9.3,4.0,1.0,0.1,0.0,0.0
1987,0.0,0.0,0.0,0.2,2.0,8.8,10.0,5.5,1.0,0.2,0.0,0.0
1988,0.0,0.0,0.0,0.3,2.7,8.8,10.5,4.4,1.7,0.5,0.0,0.0
