YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1963,11.2,5.6,8.8,7.3,4.0,4.6,4.9,2.9,2.3,7.4,8.9,7.8
1964,7.2,7.0,6.8,4.4,2.0,4.9,1.3,3.1,4.5,8.5,7.0,8.3
1965,7.2,5.5,6.2,6.7,2.7,2.7,3.9,2.8,3.7,6.0,7.9,5.8
1966,9.7,7.6,4.6,4.3,2.8,3.2,1.5,2.9,4.5,5.5,6.2,8.1
1967,9.5,8.8,8.9,9.3,5.9,3.3,2.6,3.0,2.4,6.2,7.8,5.7
1968,5.4,4.5,9.2,6.3,5.4,2.9,1.8,3.3,3.5,6.4,6.5,7.3
1969,5.5,8.5,9.4,6.9,4.3,2.2,1.8,2.2,3.7,8.5,6.2,6.5
1970,6.1,7.0,4.2,4.0,4.4,4.1,3.2,4.9,3.7,7.4,6.2,9.5
1971,8.7,8.2,7.4,6.9,5.3,2.6,4.7,4.1,2.5,7.2,6.9,7.7
1972,11.1,7.9,9.3,5.1,3.4,2.7,1.6,2.3,3.1,5.4,6.7,5.5
1973,5.7,8.3,8.2,6.8,2.4,1.2,3.4,3.9,5.1,6.8,7.8,10.1
1974,12.0,10.8,9.8,6.4,4.9,3.1,1.9,5.3,3.3,4.7,9.3,7.6
1975,9.9,8.8,8.6,6.0,4.7,3.5,3.2,2.6,4.5,4.5,8.0,11.2
1976,11.1,11.3,11.2,6.7,5.4,2.9,3.1,1.9,4.5,9.1,7.6,8.1
1977,8.2,10.2,8.9,6.6,5.1,2.5,1.6,3.4,6.7,6.3,7.8,8.8
1978,9.8,7.6,8.6,6.5,1.8,2.0,1.3,3.9,4.4,6.7,6.8,8.3
1979,7.6,7.5,5.6,4.4,4.6,2.5,4.8,5.6,3.7,7.3,7.2,6.5
1980,7.5,8.5,6.7,3.8,2.2,2.2,1.3,3.9,6.5,4.0,9.6,7.3
1981,10.5,9.3,8.7,4.5,4.3,2.7,2.2,6.6,3.8,7.1,7.2,8.2
1982,6.9,6.1,6.8,8.0,1.6,3.2,4.2,1.8,4.1,8.6,6.1,6.4
1983,6.4,5.4,6.6,4.4,5.1,4.2,4.6,2.1,4.5,6.6,9.5,8.5
1984,6.7,5.3,8.3,5.0,4.1,3.1,2.8,3.2,3.3,7.8,7.0,5.9
1985,9.8,10.0,7.1,3.7,3.1,2.6,2.2,1.8,3.9,9.2,8.0,10.6
1986,8.1,6.3,7.2,5.6,1.0,4.4,1.8,4.0,3.7,8.7,8.2,6.7
1987,6.0,7.5,7.4,5.7,2.5,2.7,2.7,4.2,9.2,5.2,8.2,8.0
1988,6.5,10.7,9.9,7.3,3.3,3.9,2.5,2.6,6.3,7.7,6.8,10.5
1989,7.8,11.0,6.7,7.8,3.5,3.9,2.8,2.3,3.1,6.1,9.6,6.4
1990,7.2,7.9,8.6,7.9,2.8,3.7,2.1,2.6,2.3,4.6,5.0,8.0
