datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-03-14,25.6,16.1,19,14.1,75.2,4.639,100,1017.3,69.7,10,174,9
2022-03-15,22.8,15,17.9,13.8,78.6,0.8,100,1018.7,81.6,9.6,118.7,5
2022-03-16,21.7,13,16.7,13.6,82.6,1.079,100,1020.1,87.6,10.2,108.8,4
2022-03-17,19,13.1,15.7,12.2,80.7,13,100,1024.3,80.6,10.6,106.9,5
2022-03-18,22.4,13,17.3,11.6,71.3,0.067,100,1026.9,44.8,10.6,275.5,10
2022-03-19,24.9,14.1,18.9,7.6,53.9,0,0,1025.9,79.4,10.6,288.7,9
2022-03-20,24.8,3.5,18.2,8.4,54.5,1.325,100,1024.9,60.1,10.5,215.1,9
2022-03-21,16.7,12.6,15.2,10.6,74,0.133,100,1025.5,59.8,10.4,63.6,3
2022-03-22,23.3,10,16.8,10.2,67.6,0,0,1024.9,32.6,9.4,186.7,7
2022-03-23,23,13.1,17.7,9.6,60.7,0.1,100,1023.8,59.5,10,245,9
2022-03-24,24.1,11.3,18.5,11.3,65,0.2,100,1019.8,43.2,10.6,203.8,8
2022-03-25,23.8,14.1,18.7,12.7,70.5,0.4,100,1018.7,74.2,9.9,177.5,8
2022-03-26,22.4,14.1,17.8,13.1,75.7,1.2,100,1020.5,57.6,9.5,187.7,7
2022-03-27,25.5,12.2,18.6,10.6,64.8,0.2,100,1023.8,17.5,9.8,279.1,10
2022-03-28,24.4,13.7,18.4,11.6,67.4,0.2,100,1026.5,41.1,9.4,231.3,8
2022-03-29,23.7,11.3,17.9,10.1,62.6,0,0,1024.2,14.9,10.2,237.7,8
2022-03-30,25.3,15,19.3,9.4,55.2,0,0,1022.8,17.5,10.2,268.3,9
2022-03-31,25.9,12.3,18.9,8.2,53.2,0,0,1022.9,4.2,10.2,261.4,9
2022-04-01,24,11.3,18.2,10,60.7,0,0,1022.7,36.9,10.2,170.1,8
2022-04-02,22.5,13.1,17,12.1,73.4,0.663,100,1021.1,34.4,10,127.1,7
2022-04-03,16.3,14,15.3,13.4,88.6,12.651,100,1020.3,57.3,9.3,34.2,1
2022-04-04,17.4,12.4,15.3,13.7,90.2,17.516,100,1019.5,65,9.3,77.2,3
2022-04-05,23.3,11.7,17.1,12.9,78.4,0.2,100,1020.4,52.6,8.3,194.7,9
2022-04-06,25.3,13.8,19.2,9.4,56.8,0,0,1021.2,26.9,9.9,224.6,9
2022-04-07,23,8.9,16.2,4.1,47.6,0,0,1023.4,40.3,11.4,234.4,9
2022-04-08,21.2,10.8,14.3,10.4,79.2,22,100,1026.7,74.5,8.9,152.3,9
2022-04-09,15.9,10.6,12.5,10.4,87.4,38.859,100,1027.3,73.7,10,75.2,4
2022-04-10,13,10.3,11.6,10.6,93.7,26.314,100,1025.7,97.7,8.1,19.4,1
2022-04-11,18.3,11.7,13.8,11.8,88,21.338,100,1024.9,66.6,8.7,91.3,5
2022-04-12,20.4,12,15.8,11.2,75.5,2.133,100,1022.2,52.7,10,147.2,5
2022-04-13,23.6,11.8,17.2,9.4,63.7,0,0,1018.6,21.3,10,244.3,9
2022-04-14,23.6,10.5,17.2,8.6,59.9,0,0,1018.7,23.9,10.2,238.5,8
2022-04-15,25.6,13.1,18.5,9,58.1,0,0,1022.3,13.4,10.2,230,8
2022-04-16,15.4,11.3,13.3,11.2,87.5,22.012,100,1026.9,84.7,9.5,23.5,1
2022-04-17,13.4,10,11.8,11,94.4,26.592,100,1026.6,96.8,7.7,54.5,3
2022-04-18,18.3,10,13.5,9.2,77.3,10.627,100,1025.5,55.8,9.9,217.5,8
2022-04-19,19.6,9.7,13.6,6.3,64.8,0,0,1027.7,27.2,10.1,227.3,8
2022-04-20,21.2,7.7,14,5.6,61,0,0,1028,15.6,10.1,205.5,8
2022-04-21,21.9,9.4,15.7,8.7,64.8,0,0,1026.4,25.9,10.2,190,8
2022-04-22,23.6,10.9,16.8,11.2,71.8,1,100,1023.6,43.9,10.2,149.4,7
2022-04-23,21.6,11.1,16.3,11.3,74.5,1,100,1021.5,44.4,8.9,148.8,6
2022-04-24,22.2,13.6,17.2,12.5,75.9,0.133,100,1020.7,59,9.3,145,7
2022-04-25,19.8,12.2,15.3,10.6,74.7,14.337,100,1021.9,56.8,10.2,92,4
2022-04-26,21.4,6.1,13.6,0.8,45.6,0.067,100,1024.1,0.1,10.4,231.7,9
2022-04-27,19.6,4.9,12.3,2.4,52.9,0,0,1026.6,13.5,9.9,220.1,8
2022-04-28,19.9,8.7,13.3,6.6,68.8,0,0,1026.1,45.1,10.2,177.1,8
2022-04-29,21.9,7.3,14.4,7.1,65.2,0,0,1023,21.2,10.2,202,7
2022-04-30,21.9,9.3,15.1,5.5,55.7,0,0,1023,31.5,10.8,187,8
2022-05-01,21.9,7.2,13.7,4.7,58,0,0,1028.3,22.1,9.4,205.5,7
2022-05-02,21.7,7.3,13.9,6.9,66,0,0,1029.3,12.3,10.1,184.7,7
2022-05-03,21,8.2,13.8,6.6,65.2,0,0,1028.1,13.5,9.7,188,8
